Super_Bowl,Musician,num_songs
59,SZA,2
59,Kendrick Lamar,12
58,Usher,13
58,Ludacris,1
58,H.E.R.,1
58,will.i.am,1
58,Jermaine Dupri,1
58,Alicia Keys,2
58,Lil Jon,2
57,Rihanna,14
56,50 Cent,2
56,Anderson .Paak,1
56,Mary J. Blige,3
56,Dr. Dre,4
56,Eminem,3
56,Snoop Dogg,3
56,Kendrick Lamar,4
55,The Weeknd,9
54,Shakira,10
54,Bad Bunny,2
54,Emme Muñiz,1
54,Jennifer Lopez,8
54,J Balvin,1
53,Maroon 5,9
53,Travis Scott,1
53,Big Boi,2
52,University of Minnesota Marching Band,1
52,Justin Timberlake,11
51,Lady Gaga,10
50,Beyoncé,2
50,Bruno Mars,2
50,Coldplay,14
50,Mark Ronson,1
49,Katy Perry,9
49,Lenny Kravitz,1
49,Missy Elliott,3
48,Red Hot Chili Peppers,1
48,Bruno Mars,6
47,Destiny's Child,2
47,Beyoncé,9
46,Cee Lo Green,2
46,Nicki Minaj,1
46,M.I.A.,1
46,LMFAO,1
46,Madonna,5
45,The Black Eyed Peas,8
45,Usher,1
45,Slash,1
44,The Who,6
43,Bruce Springsteen,4
43,E Street Band,4
42,Tom Petty and the Heartbreakers,4
41,Prince,8
40,The Rolling Stones,3
39,Paul McCartney,4
38,Jessica Simpson,10
38,Justin Timberlake,1
38,Kid Rock,2
38,Janet Jackson,3
38,Spirit of Houston,1
38,P. Diddy,3
38,Nelly,1
38,Ocean of Soul,1
37,Shania Twain,2
37,Sting,1
37,No Doubt,2
36,U2,3
35,NSYNC,4
35,Britney Spears,1
35,Nelly,1
35,Mary J. Blige,1
35,Aerosmith,4
34,Toni Braxton,1
34,Enrique Iglesias,1
34,80-person choir ( Georgia State University ),5
34,Edward James Olmos (narrator),5
34,Christina Aguilera,1
34,Phil Collins,1
33,Stevie Wonder,4
33,Gloria Estefan,3
33,Savion Glover,8
33,Big Bad Voodoo Daddy,1
32,Grambling State University Marching Band,9
32,Queen Latifah,1
32,Boyz II Men,2
32,Smokey Robinson,2
32,The Temptations,3
32,Martha Reeves,9
31,John Goodman and Jim Belushi ),7
31,James Brown,2
31,ZZ Top,2
31,"Catherine Crier (""news"" intro)",7
31,The Blues Brothers ( Dan Aykroyd,7
30,Diana Ross,10
29,Indiana Jones & Marion Ravenwood,5
29,Patti LaBelle,3
29,Miami Sound Machine,1
29,Arturo Sandoval,1
29,Teddy Pendergrass,5
29,Tony Bennett,2
28,The Judds,1
28,Travis Tritt,1
28,Tanya Tucker,1
28,Clint Black,1
27,Michael Jackson,5
26,Members of the 1980 US Olympic Hockey Team,8
26,Gloria Estefan,2
26,Olympic figure skaters Brian Boitano and Dorothy Hamill,8
26,University of Minnesota Marching Band,1
25,Audience ( card stunt ),4
25,000 local children,4
25,Warren Moon,4
25,2,4
25,Disney characters,4
25,New Kids on the Block,4
24,Pete Fountain,1
24,USL Marching Band,5
24,Nicholls State University Marching Band,5
24,Irma Thomas,5
24,Southern University Marching Band,5
24,Doug Kershaw,5
23,Elvis Presto,9
23,South Florida -area dancers and performers,9
22,California State University Northridge Marching Band and USC Marching Bands,5
22,Chubby Checker,1
22,88 grand piano players (various),5
22,The Rockettes,2
22,The combined San Diego State University Marching Aztecs,5
21,Southern California -area high school drill teams and dancers,11
21,Disney characters,11
21,Grambling State University and USC Marching Bands,11
21,George Burns,11
21,Mickey Rooney,11
20,Up with People,4
19,Tops in Blue,1
18,University of Florida,7
18,Florida State University,7
17,Los Angeles Super Drill Team,6
16,Up with People,7
15,Southern University Marching Band,1
15,Helen O'Connell,1
14,Up with People,9
14,Grambling State University Marching Bands,9
13,Various Caribbean bands,1
13,Ken Hamilton,1
13,including Gramacks out of Dominica,1
12,The Apache Band,1
12,Tyler Apache Belles Drill Team,1
12,Pete Fountain,1
12,Al Hirt,1
11,card stunt,6
10,Up with People,6
9,Grambling State University,1
9,Mercer Ellington,1
8,Judy Mallett ( Miss Texas 1973) on fiddle,1
8,University of Texas Longhorn Band,1
7,Woody Herman,1
7,Andy Williams,2
7,University of Michigan Marching Band,4
6,U.S. Marine Corps Drill Team,1
6,USAFA Cadet Chorale,1
6,Al Hirt,1
6,Carol Channing,1
6,Ella Fitzgerald,1
5,Anita Bryant,1
5,Up With People,1
5,Southeast Missouri State,1
4,Doc Severinsen,2
4,Marguerite Piazza,2
4,Al Hirt,2
4,Lionel Hampton,2
4,Carol Channing,2
4,Southern University Marching Band,2
3,Florida A&M University band,1
3,Miami-area high school bands,1
2,Grambling State University,1
1,Anaheim High School Ana-Hi-Steppers Drill Team and Flag Girls,8
1,Al Hirt,2
1,Grambling State University Marching Band,8
1,University of Arizona Symphonic Marching Band,8
