,Super_Bowl,Setlist,Headliner(s),Performer(s),Musician(s),num_songs
0,1,""" The Sound of Music "", Medley: "" Way Down Yonder in New Orleans / When the Saints Go Marching In "" (with Al Hirt), "" Bugler's Holiday "" (with Al Hirt), "" Bury Me Not on the Lone Prairie "", "" William Tell Overture "" (excerpt), "" The Liberty Bell March "", "" Marching Along Together "", "" This Is My Country "" (with Grambling College Marching Band and USC Chorus)",,"University of Arizona Symphonic Marching Band, Grambling State University Marching Band, Al Hirt, Anaheim High School Ana-Hi-Steppers Drill Team and Flag Girls",University of Arizona Symphonic Marching Band,8
1,1,""" The Sound of Music "", Medley: "" Way Down Yonder in New Orleans / When the Saints Go Marching In "" (with Al Hirt), "" Bugler's Holiday "" (with Al Hirt), "" Bury Me Not on the Lone Prairie "", "" William Tell Overture "" (excerpt), "" The Liberty Bell March "", "" Marching Along Together "", "" This Is My Country "" (with Grambling College Marching Band and USC Chorus)",,"University of Arizona Symphonic Marching Band, Grambling State University Marching Band, Al Hirt, Anaheim High School Ana-Hi-Steppers Drill Team and Flag Girls",Grambling State University Marching Band,8
2,1,""" The Sound of Music "", Medley: "" Way Down Yonder in New Orleans / When the Saints Go Marching In "" (with Al Hirt), "" Bugler's Holiday "" (with Al Hirt), "" Bury Me Not on the Lone Prairie "", "" William Tell Overture "" (excerpt), "" The Liberty Bell March "", "" Marching Along Together "", "" This Is My Country "" (with Grambling College Marching Band and USC Chorus)",,"University of Arizona Symphonic Marching Band, Grambling State University Marching Band, Al Hirt, Anaheim High School Ana-Hi-Steppers Drill Team and Flag Girls",Al Hirt,2
3,1,""" The Sound of Music "", Medley: "" Way Down Yonder in New Orleans / When the Saints Go Marching In "" (with Al Hirt), "" Bugler's Holiday "" (with Al Hirt), "" Bury Me Not on the Lone Prairie "", "" William Tell Overture "" (excerpt), "" The Liberty Bell March "", "" Marching Along Together "", "" This Is My Country "" (with Grambling College Marching Band and USC Chorus)",,"University of Arizona Symphonic Marching Band, Grambling State University Marching Band, Al Hirt, Anaheim High School Ana-Hi-Steppers Drill Team and Flag Girls",Anaheim High School Ana-Hi-Steppers Drill Team and Flag Girls,8
4,2,—,,Grambling State University,Grambling State University,1
5,3,—,,"Florida A&M University band, Miami-area high school bands",Florida A&M University band,1
6,3,—,,"Florida A&M University band, Miami-area high school bands",Miami-area high school bands,1
7,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,"Marguerite Piazza, Doc Severinsen, Al Hirt, Lionel Hampton, Carol Channing, Southern University Marching Band",Marguerite Piazza,2
8,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,"Marguerite Piazza, Doc Severinsen, Al Hirt, Lionel Hampton, Carol Channing, Southern University Marching Band",Doc Severinsen,2
9,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,"Marguerite Piazza, Doc Severinsen, Al Hirt, Lionel Hampton, Carol Channing, Southern University Marching Band",Al Hirt,2
10,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,"Marguerite Piazza, Doc Severinsen, Al Hirt, Lionel Hampton, Carol Channing, Southern University Marching Band",Lionel Hampton,2
11,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,"Marguerite Piazza, Doc Severinsen, Al Hirt, Lionel Hampton, Carol Channing, Southern University Marching Band",Carol Channing,2
12,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,"Marguerite Piazza, Doc Severinsen, Al Hirt, Lionel Hampton, Carol Channing, Southern University Marching Band",Southern University Marching Band,2
13,5,—,,"Southeast Missouri State, Anita Bryant, Up With People",Southeast Missouri State,1
14,5,—,,"Southeast Missouri State, Anita Bryant, Up With People",Anita Bryant,1
15,5,—,,"Southeast Missouri State, Anita Bryant, Up With People",Up With People,1
16,6,""" Mack the Knife "" (Ella Fitzgerald and Al Hirt)",,"Ella Fitzgerald, Carol Channing, Al Hirt, USAFA Cadet Chorale, U.S. Marine Corps Drill Team",Ella Fitzgerald,1
17,6,""" Mack the Knife "" (Ella Fitzgerald and Al Hirt)",,"Ella Fitzgerald, Carol Channing, Al Hirt, USAFA Cadet Chorale, U.S. Marine Corps Drill Team",Carol Channing,1
18,6,""" Mack the Knife "" (Ella Fitzgerald and Al Hirt)",,"Ella Fitzgerald, Carol Channing, Al Hirt, USAFA Cadet Chorale, U.S. Marine Corps Drill Team",Al Hirt,1
19,6,""" Mack the Knife "" (Ella Fitzgerald and Al Hirt)",,"Ella Fitzgerald, Carol Channing, Al Hirt, USAFA Cadet Chorale, U.S. Marine Corps Drill Team",USAFA Cadet Chorale,1
20,6,""" Mack the Knife "" (Ella Fitzgerald and Al Hirt)",,"Ella Fitzgerald, Carol Channing, Al Hirt, USAFA Cadet Chorale, U.S. Marine Corps Drill Team",U.S. Marine Corps Drill Team,1
21,7,""" Put on a Happy Face "" (University of Michigan Marching Band), "" Woodchopper's Ball "" (University of Michigan Marching Band with Woody Herman), "" La Virgen de la Macarena "" (University of Michigan Marching Band), "" This Land Is Your Land "" (University of Michigan Marching Band), "" Marmalade, Molasses & Honey "" (Andy Williams), "" People "" (Andy Williams)",,"University of Michigan Marching Band, Woody Herman, Andy Williams",University of Michigan Marching Band,4
22,7,""" Put on a Happy Face "" (University of Michigan Marching Band), "" Woodchopper's Ball "" (University of Michigan Marching Band with Woody Herman), "" La Virgen de la Macarena "" (University of Michigan Marching Band), "" This Land Is Your Land "" (University of Michigan Marching Band), "" Marmalade, Molasses & Honey "" (Andy Williams), "" People "" (Andy Williams)",,"University of Michigan Marching Band, Woody Herman, Andy Williams",Woody Herman,1
23,7,""" Put on a Happy Face "" (University of Michigan Marching Band), "" Woodchopper's Ball "" (University of Michigan Marching Band with Woody Herman), "" La Virgen de la Macarena "" (University of Michigan Marching Band), "" This Land Is Your Land "" (University of Michigan Marching Band), "" Marmalade, Molasses & Honey "" (Andy Williams), "" People "" (Andy Williams)",,"University of Michigan Marching Band, Woody Herman, Andy Williams",Andy Williams,2
24,8,—,,"University of Texas Longhorn Band, Judy Mallett ( Miss Texas 1973) on fiddle",University of Texas Longhorn Band,1
25,8,—,,"University of Texas Longhorn Band, Judy Mallett ( Miss Texas 1973) on fiddle",Judy Mallett ( Miss Texas 1973) on fiddle,1
26,9,—,,"Mercer Ellington, Grambling State University",Mercer Ellington,1
27,9,—,,"Mercer Ellington, Grambling State University",Grambling State University,1
28,10,""" Good Time Neighborhood Band "", "" 200 Years and Just A Baby "", "" Cindy "", Medley: "" Rippin' Along ""/"" Rock Around The Clock "", Medley: "" Take Me Home Country Roads ""/"" City of New Orleans ""/"" Philadelphia Freedom ""/"" 200 Years and Just A Baby "" (reprise), "" America The Beautiful """,,Up with People,Up with People,6
29,11,""" It's A Big Wide Wonderful World "", "" Paloma Blanca "", "" Mickey Mouse Club Theme"", "" If You Add All The Love In The World "", "" It's A Small World "", "" Brotherhood Of Man """,,card stunt,card stunt,6
30,12,—,,"Tyler Apache Belles Drill Team, The Apache Band, Pete Fountain, Al Hirt",Tyler Apache Belles Drill Team,1
31,12,—,,"Tyler Apache Belles Drill Team, The Apache Band, Pete Fountain, Al Hirt",The Apache Band,1
32,12,—,,"Tyler Apache Belles Drill Team, The Apache Band, Pete Fountain, Al Hirt",Pete Fountain,1
33,12,—,,"Tyler Apache Belles Drill Team, The Apache Band, Pete Fountain, Al Hirt",Al Hirt,1
34,13,—,,"Ken Hamilton, Various Caribbean bands, including Gramacks out of Dominica",Ken Hamilton,1
35,13,—,,"Ken Hamilton, Various Caribbean bands, including Gramacks out of Dominica",Various Caribbean bands,1
36,13,—,,"Ken Hamilton, Various Caribbean bands, including Gramacks out of Dominica",including Gramacks out of Dominica,1
