,Super_Bowl,Setlist,Headliner(s),Performer(s),Musician(s),num_songs
102,34,""" Reflections of Earth "" Instrumental ( Walt Disney World Millennium Celebration soundtrack ), ""Celebrate the Future Hand in Hand"" (Christina Aguilera & Enrique Iglesias), "" Tapestry of Nations "" Instrumental ( Walt Disney World Millennium Celebration soundtrack ), "" Two Worlds "" (Phil Collins), ""We Go On"" (Toni Braxton)",,"Phil Collins, Christina Aguilera, Enrique Iglesias, Toni Braxton, 80-person choir ( Georgia State University ), Edward James Olmos (narrator)",—,0
114,36,""" Beautiful Day "", "" MLK "", "" Where the Streets Have No Name """,,U2,—,0
127,39,""" Drive My Car "", "" Get Back "", "" Live and Let Die "", "" Hey Jude """,,Paul McCartney,—,0
129,40,""" Start Me Up "", "" Rough Justice "", "" (I Can't Get No) Satisfaction """,,The Rolling Stones,—,0
131,41,""" We Will Rock You "" (Intro), "" Let's Go Crazy "", "" Baby I'm a Star "", "" Proud Mary "", "" 1999 "", "" All Along the Watchtower "", "" Best of You "", "" Purple Rain """,,Prince,Florida A&M University Marching 100 Band,0
133,42,""" American Girl "", "" I Won't Back Down "", "" Free Fallin' "", "" Runnin' Down a Dream """,,Tom Petty and the Heartbreakers,—,0
135,43,""" Tenth Avenue Freeze-Out "", "" Born to Run "", "" Working on a Dream "", "" Glory Days """,,"Bruce Springsteen, E Street Band",The Miami Horns,0
139,44,""" Pinball Wizard "", "" Baba O'Riley "", "" Who Are You "", "" See Me, Feel Me "", "" Won't Get Fooled Again """,The Who,,—,0
143,45,""" I Gotta Feeling "" (The Black Eyed Peas), "" Boom Boom Pow "" (The Black Eyed Peas), "" Sweet Child O' Mine "" (Slash & Fergie), "" Pump It "" (The Black Eyed Peas), "" Let's Get It Started "" (The Black Eyed Peas), "" OMG "" (Usher & will.i.am), "" Where Is The Love? "" (The Black Eyed Peas), "" The Time (Dirty Bit) "" with ""I Gotta Feeling"" reprise (The Black Eyed Peas)",The Black Eyed Peas,,Dallas/Ft. Worth -area area high school drill teams and dancers,0
144,45,""" I Gotta Feeling "" (The Black Eyed Peas), "" Boom Boom Pow "" (The Black Eyed Peas), "" Sweet Child O' Mine "" (Slash & Fergie), "" Pump It "" (The Black Eyed Peas), "" Let's Get It Started "" (The Black Eyed Peas), "" OMG "" (Usher & will.i.am), "" Where Is The Love? "" (The Black Eyed Peas), "" The Time (Dirty Bit) "" with ""I Gotta Feeling"" reprise (The Black Eyed Peas)",The Black Eyed Peas,,Prairie View A&M University Marching Storm,0
147,46,""" Vogue "" (Madonna), "" Music "" / "" Party Rock Anthem "" / "" Sexy and I Know It "" (Madonna with LMFAO), "" Give Me All Your Luvin' "" (Madonna with Nicki Minaj and M.I.A.), "" Open Your Heart "" / "" Express Yourself "" (Madonna with Cee Lo Green), "" Like a Prayer "" (Madonna with Cee Lo Green)",Madonna,,Cirque du Soleil,0
