Unnamed: 0,Super_Bowl,Setlist,Headliner(s),Musician(s),num_songs
0,1,""" The Sound of Music "", Medley: "" Way Down Yonder in New Orleans / When the Saints Go Marching In "" (with Al Hirt), "" Bugler's Holiday "" (with Al Hirt), "" Bury Me Not on the Lone Prairie "", "" William Tell Overture "" (excerpt), "" The Liberty Bell March "", "" Marching Along Together "", "" This Is My Country "" (with Grambling College Marching Band and USC Chorus)",,University of Arizona Symphonic Marching Band,0
1,1,""" The Sound of Music "", Medley: "" Way Down Yonder in New Orleans / When the Saints Go Marching In "" (with Al Hirt), "" Bugler's Holiday "" (with Al Hirt), "" Bury Me Not on the Lone Prairie "", "" William Tell Overture "" (excerpt), "" The Liberty Bell March "", "" Marching Along Together "", "" This Is My Country "" (with Grambling College Marching Band and USC Chorus)",,Grambling State University Marching Band,0
3,1,""" The Sound of Music "", Medley: "" Way Down Yonder in New Orleans / When the Saints Go Marching In "" (with Al Hirt), "" Bugler's Holiday "" (with Al Hirt), "" Bury Me Not on the Lone Prairie "", "" William Tell Overture "" (excerpt), "" The Liberty Bell March "", "" Marching Along Together "", "" This Is My Country "" (with Grambling College Marching Band and USC Chorus)",,Anaheim High School Ana-Hi-Steppers Drill Team and Flag Girls,0
4,2,—,,Grambling State University,0
5,3,—,,Florida A&M University band,0
6,3,—,,Miami-area high school bands,0
7,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,Marguerite Piazza,0
8,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,Doc Severinsen,0
9,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,Al Hirt,0
10,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,Lionel Hampton,0
11,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,Carol Channing,0
12,4,""" Do You Know What It Means to Miss New Orleans? "", "" When the Saints Go Marching In """,,Southern University Marching Band,0
13,5,—,,Southeast Missouri State,0
14,5,—,,Anita Bryant,0
15,5,—,,Up With People,0
17,6,""" Mack the Knife "" (Ella Fitzgerald and Al Hirt)",,Carol Channing,0
19,6,""" Mack the Knife "" (Ella Fitzgerald and Al Hirt)",,USAFA Cadet Chorale,0
20,6,""" Mack the Knife "" (Ella Fitzgerald and Al Hirt)",,U.S. Marine Corps Drill Team,0
24,8,—,,University of Texas Longhorn Band,0
25,8,—,,Judy Mallett ( Miss Texas 1973) on fiddle,0
26,9,—,,Mercer Ellington,0
27,9,—,,Grambling State University,0
